 101  57.0  -77.0 10 RICHMOND GULF QUE.    
14399.0007  400.0000   97.0000   14.5000
14994.0007  500.0000   97.0000   14.5000
 212  62.8    8.2  2 TINGVOLL NOR.         
12614.0006  400.0000   90.0000   13.4000
14042.0007  400.0000  113.0000   16.9000
 213  62.7    6.2  2 SKULOY NOR.           
 8687.0004  200.0000    9.0000    1.3000
11305.0005  300.0000    9.0000    1.3000
 214  62.4    6.6  4 STETTE NOR.           
12138.0006  400.0000   38.0000    5.6000
12614.0006  400.0000   39.0000    5.8000
12852.0006  400.0000   42.0000    6.2000
14518.0007  700.0000   48.0000    7.1000
 215  62.3    6.2  7 SULA NOR.             
 5117.0002  200.0000    7.0000    1.0000
 8925.0004  300.0000   13.0000    1.9000
 9758.0005  300.0000    7.0000    1.0000
 9996.0005  300.0000   10.0000    1.4000
11900.0006  400.0000   26.0000    3.9000
13328.0006  400.0000   31.0000    4.6000
14042.0007  400.0000   35.0000    5.2000
 216  62.2    5.6  6 LEINOY NOR.           
12495.0006  400.0000    6.0000    1.0000
12971.0006  400.0000    6.0000    1.0000
13804.0007  400.0000    8.5000    1.2000
14399.0007  400.0000   17.0000    2.5000
14637.0007  700.0000   23.0000    3.4000
14756.0007  400.0000   19.0000    2.8000
 217  62.0    5.3  2 BORGUNDVAG NOR.       
 7378.0004  200.0000    5.0000    1.0000
 9996.0005  300.0000   -2.0000    1.0000
 218  61.1    6.0  1 SOGNE FJORD NOR.      
12257.0006  400.0000   20.0000    3.0000
 219  60.8    5.0  9 FONNES NOR.           
 1190.0001  200.0000    1.0000    1.0000
 2380.0001  200.0000    2.0000    1.0000
 3570.0002  200.0000    5.0000    1.0000
 4760.0002  200.0000    7.0000    1.0000
 5950.0003  200.0000    9.0000    1.3000
 7140.0003  200.0000   10.0000    1.4000
 8330.0004  200.0000   14.0000    2.1000
 9520.0005  300.0000    8.0000    1.1000
10710.0005  300.0000    5.0000    1.0000
 220  60.2    5.0  4 BERGEN NOR.           
 8806.0004  200.0000   11.4000    1.7000
11781.0006  300.0000   23.6000    3.5000
12257.0006  400.0000   32.3000    4.8000
12971.0006  400.0000   38.2000    5.7000
 221  59.0    5.5  7 JAEREN NOR.           
 1190.0001  500.0000    1.0000    1.0000
 2380.0001  500.0000    1.0000    1.0000
 3570.0002  500.0000    2.0000    1.0000
 4760.0002  500.0000    4.0000    1.0000
 9520.0005  500.0000    4.0000    1.0000
10710.0005  500.0000    1.0000    1.0000
11900.0006  500.0000    5.0000    1.0000
 222  58.0    6.7  9 LISTA NOR.            
 1190.0001  200.0000    1.0000    1.0000
 2380.0001  200.0000    2.0000    1.0000
 3570.0002  200.0000    3.0000    1.0000
 4760.0002  200.0000    7.0000    1.0000
 5950.0003  200.0000    3.0000    1.0000
 7140.0003  200.0000    3.0000    1.0000
 8330.0004  200.0000    2.0000    1.0000
 9520.0005  300.0000   -8.0000    1.1000
10710.0005  300.0000  -11.0000    1.6000
 223  58.0    7.7  2 MANDAL NOR.           
 3689.0002  200.0000    4.0000    1.0000
 8092.0004  200.0000    8.0000    1.1000
 224  60.0   10.9  4 OSLO NOR.             
 2975.0001  200.0000    9.0000    1.3000
 5950.0003  200.0000   26.0000    3.9000
 9758.0005  300.0000   75.0000   11.2000
11305.0005  300.0000  142.0000   21.2000
 225  59.5   11.0  4 S. OSTFOLD NOR.       
 2975.0001  200.0000    8.0000    1.1000
 5950.0003  200.0000   20.0000    3.0000
 9758.0005  300.0000   60.0000    8.9000
11305.0005  300.0000  115.0000   17.2000
 226  58.6   11.2  8 FJALLBACKA SWE.       
 1190.0001  200.0000    6.0000    1.0000
 2380.0001  200.0000   10.0000    1.4000
 3570.0002  200.0000   17.0000    2.5000
 4760.0002  200.0000   23.0000    3.4000
 5950.0003  200.0000   30.0000    4.5000
 7140.0003  200.0000   38.0000    5.6000
 8330.0004  200.0000   47.0000    7.0000
 9520.0005  300.0000   57.0000    8.5000
 227  57.7   11.7  9 GOTEBORG SWE.         
 1190.0001  200.0000    1.0000    1.0000
 2380.0001  200.0000    6.0000    1.0000
 3570.0002  200.0000    9.0000    1.3000
 4760.0002  200.0000   13.0000    1.9000
 5950.0003  200.0000   17.0000    2.5000
