 101  57.0  -77.0 10 RICHMOND GULF QUE.    
 209  63.7    9.6 12 BJUGN NOR.            
 2563.9141  200.0000    9.0000    1.3000
 4387.7405  200.0000   17.0000    2.5000
 5521.4264  200.0000   22.0000    3.3000
 5979.3107  200.0000   27.0000    4.0000
 6980.7591  200.0000   32.0000    4.8000
 9872.9906  300.0000   43.0000    6.4000
10428.4878  300.0000   52.0000    7.7000
10706.2364  300.0000   63.0000    9.4000
11122.8593  300.0000   92.0000   13.7000
11400.6079  300.0000   10.4000    1.5000
12094.9794  400.0000  116.0000   17.3000
13298.7227  400.0000  118.0000   17.6000
 210  63.6    8.5  5 FROYA NOR.            
 5621.2352  200.0000   15.0000    2.2000
 6112.2547  200.0000   14.0000    2.1000
10428.4878  300.0000   28.0000    4.2000
11122.8593  300.0000   39.0000    5.8000
11956.1051  400.0000   44.0000    6.5000
 211  63.4    8.8  6 HITRA NOR.            
 5979.3107  200.0000   18.0000    2.7000
11122.8593  300.0000   61.0000    9.1000
11261.7336  300.0000   41.0000    6.1000
11400.6079  300.0000   76.0000   11.3000
13962.9803  400.0000   97.0000   14.5000
14617.1798  500.0000   97.0000   14.5000
 212  62.8    8.2  2 TINGVOLL NOR.         
12372.7280  400.0000   90.0000   13.4000
13659.4835  400.0000  113.0000   16.9000
 213  62.7    6.2  2 SKULOY NOR.           
 8083.4733  200.0000    9.0000    1.3000
10845.1107  300.0000    9.0000    1.3000
 214  62.4    6.6  4 STETTE NOR.           
11817.2308  400.0000   38.0000    5.6000
12372.7280  400.0000   39.0000    5.8000
12650.4765  400.0000   42.0000    6.2000
14093.8202  700.0000   48.0000    7.1000
 215  62.3    6.2  7 SULA NOR.             
 4883.3445  200.0000    7.0000    1.0000
 8264.3893  300.0000   13.0000    1.9000
 9081.2861  300.0000    7.0000    1.0000
 9317.4934  300.0000   10.0000    1.4000
11539.4822  400.0000   26.0000    3.9000
13118.3423  400.0000   31.0000    4.6000
13659.4835  400.0000   35.0000    5.2000
 216  62.2    5.6  6 LEINOY NOR.           
12233.8537  400.0000    6.0000    1.0000
12789.3508  400.0000    6.0000    1.0000
13479.1031  400.0000    8.5000    1.2000
13962.9803  400.0000   17.0000    2.5000
14224.6601  700.0000   23.0000    3.4000
14355.5000  400.0000   19.0000    2.8000
 217  62.0    5.3  2 BORGUNDVAG NOR.       
 7107.7189  200.0000    5.0000    1.0000
 9317.4934  300.0000   -2.0000    1.0000
 218  61.1    6.0  1 SOGNE FJORD NOR.      
11956.1051  400.0000   20.0000    3.0000
 219  60.8    5.0  9 FONNES NOR.           
  969.9618  200.0000    1.0000    1.0000
 2020.9752  200.0000    2.0000    1.0000
 3153.6864  200.0000    5.0000    1.0000
 4387.7405  200.0000    7.0000    1.0000
 5721.0440  200.0000    9.0000    1.3000
 6860.0804  200.0000   10.0000    1.4000
 7818.8277  200.0000   14.0000    2.1000
 8857.1391  300.0000    8.0000    1.1000
